City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,paracuru,-3.41,-39.0306,302.1,66,100,6.27,BR,1707114820
221,kazerun,29.6195,51.6541,283.66,32,0,2.22,IR,1707114820
222,kamenka,51.3223,42.7678,271.29,94,100,5.5,RU,1707114820
223,mana,5.6592,-53.7767,297.72,94,92,3.44,GF,1707114821
224,tadine,-21.55,167.8833,298.72,91,100,8.08,NC,1707114821
225,pisco,-13.7,-76.2167,298.18,73,0,2.06,PE,1707114821
226,happy valley-goose bay,53.3168,-60.3315,254.32,78,100,1.03,CA,1707114821
227,kirakira,-10.4544,161.9205,301.34,83,100,2.67,SB,1707114822
228,shahr-e kord,32.3256,50.8644,273.02,51,0,1.03,IR,1707114822
229,sesheke,-17.4759,24.2968,300.91,49,11,1.92,ZM,1707114822
230,yazman,29.1212,71.7446,292.84,41,6,3.16,PK,1707114822
231,kasongo-lunda,-6.4667,16.8167,296.76,90,100,0.99,CD,1707114822
232,cabo san lucas,22.8909,-109.9124,293.43,73,0,0.45,MX,1707114823
233,franco da rocha,-23.3217,-46.7269,292.22,88,100,0.27,BR,1707114823
234,la'ie,21.6477,-157.9253,296.13,75,0,5.81,US,1707114823
235,nizhnyaya salda,58.0776,60.7202,258.85,95,100,3.53,RU,1707114823
236,copala,16.65,-98.9833,295.36,72,2,2.29,MX,1707114823
237,tirebolu,41.0069,38.8139,282.9,67,100,1.11,TR,1707114824
238,nuku'alofa,-21.1333,-175.2,301.34,83,20,5.14,TO,1707114824
239,puerto aysen,-45.4,-72.7,286.78,100,100,2.36,CL,1707114824
240,tofol,5.3248,163.0078,302.03,74,75,9.26,FM,1707114824
241,tralee,52.2704,-9.7026,283.24,87,100,5.15,IE,1707114825
242,tazacorte,28.629,-17.9293,292.68,23,0,4.02,ES,1707114825
243,tabou,4.423,-7.3528,298.61,89,18,1.63,CI,1707114825
244,linxia chengguanzhen,35.6003,103.2064,272.97,54,100,3.11,CN,1707114825
245,presidencia de la plaza,-27.0015,-59.8424,298.0,61,3,2.22,AR,1707114825
246,mawu,29.5923,107.3139,279.0,74,100,1.19,CN,1707114826
247,mirny,62.5353,113.9611,256.9,94,100,1.88,RU,1707114826
248,kiruna,67.8557,20.2251,264.66,100,100,2.06,SE,1707114826
249,kill devil hills,36.0307,-75.676,279.81,82,0,3.09,US,1707114826
250,solnechnyy,50.7214,136.6319,254.83,96,70,2.32,RU,1707114826
251,mossel bay,-34.1831,22.146,294.11,82,83,2.03,ZA,1707114827
252,cockburn town,21.4612,-71.1419,298.64,77,0,4.81,TC,1707115199
253,namtsy,62.7161,129.6658,238.39,99,41,0.57,RU,1707114827
254,tokar,18.4254,37.729,296.55,59,100,6.61,SD,1707114827
255,katipunan,7.5825,122.8306,301.73,69,71,1.94,PH,1707114827
256,dalandzadgad,43.5708,104.425,263.2,80,90,7.67,MN,1707114828
257,illizi,26.4833,8.4667,283.11,43,0,2.99,DZ,1707114828
258,ascension,30.2169,-90.9001,286.27,81,0,4.12,US,1707114828
259,tidjikja,18.5564,-11.4271,290.73,12,98,7.15,MR,1707114828
260,kilindoni,-7.9139,39.6668,301.79,72,100,5.43,TZ,1707114829
261,tukzar,35.9483,66.4213,279.22,29,70,0.85,AF,1707114829
262,namibe,-15.1961,12.1522,299.22,73,100,2.34,AO,1707114829
263,al mindak,20.1588,41.2834,288.93,84,100,3.59,SA,1707114829
264,canton,23.1167,113.25,288.64,61,88,2.84,CN,1707114601
265,mindelo,16.8901,-24.9804,293.9,83,0,3.6,CV,1707114830
266,hawaiian paradise park,19.5933,-154.9731,293.17,95,100,1.54,US,1707114830
267,nova sintra,14.8667,-24.7167,294.39,68,0,3.62,CV,1707114830
268,marsa alam,25.0757,34.8918,291.79,45,39,7.55,EG,1707114830
269,san luis de la loma,17.2706,-100.8939,295.44,53,0,1.75,MX,1707114830
270,quellon,-43.1167,-73.6167,287.36,97,100,3.8,CL,1707114831
271,vila velha,-20.3297,-40.2925,297.12,93,40,1.03,BR,1707114831
272,longyearbyen,78.2186,15.6401,272.06,69,75,6.69,SJ,1707114831
273,college,64.8569,-147.8028,255.82,74,40,0.0,US,1707114831
274,miracema do tocantins,-9.5618,-48.3967,298.22,82,100,0.86,BR,1707114832
275,hasaki,35.7333,140.8333,276.37,92,100,9.98,JP,1707114832
276,sao tome,0.3365,6.7273,301.0,75,78,1.52,ST,1707114832
277,hadibu,12.65,54.0333,299.92,67,64,6.14,YE,1707114832
278,motueka,-41.1333,173.0167,292.64,69,0,0.81,NZ,1707114832
279,nuuk,64.1835,-51.7216,261.49,72,100,5.66,GL,1707114833
280,uchiza,-8.4592,-76.4633,293.85,97,97,1.32,PE,1707114833
281,minas de marcona,-15.2119,-75.1103,292.06,84,15,1.86,PE,1707114833
282,dhidhdhoo,6.8833,73.1,300.97,78,95,5.48,MV,1707114833
283,kapa'a,22.0752,-159.319,296.14,81,100,5.66,US,1707114833
284,saint-florentin,48.0006,3.7249,281.05,96,77,2.36,FR,1707114834
285,iskateley,67.6803,53.1512,250.38,93,99,1.79,RU,1707115203
286,leer,53.2316,7.461,283.12,89,100,10.69,DE,1707114834
287,riyadh,24.6877,46.7219,287.23,31,100,7.43,SA,1707114802
288,nikolayevsk-on-amure,53.1406,140.73,255.62,95,16,1.65,RU,1707114834
289,dryden,49.7833,-92.7503,274.31,100,100,0.0,CA,1707114835
290,mananara,-16.1667,49.7667,300.13,84,78,1.98,MG,1707114835
291,kijang,35.2442,129.2139,280.0,80,100,12.27,KR,1707114835
292,pamandzi,-12.7967,45.2794,303.03,84,75,1.54,YT,1707114835
293,yokadouma,3.5167,15.05,298.13,25,13,1.05,CM,1707114836
294,ribeira brava,32.65,-17.0667,292.6,57,33,2.22,PT,1707114836
295,richfield,44.8833,-93.283,275.09,85,20,2.06,US,1707114836
296,ati,13.2154,18.3353,293.7,18,17,6.74,TD,1707114836
297,magole,-6.3667,37.3667,299.29,82,100,0.96,TZ,1707114836
298,holland,42.7875,-86.1089,276.42,82,0,0.0,US,1707114566
299,urumqi,43.801,87.6005,262.68,79,20,2.0,CN,1707114837
300,baklan,37.9769,29.6086,271.31,66,77,1.0,TR,1707114837
301,kembe,4.6228,21.8865,301.79,23,100,2.32,CF,1707114837
302,nova xavantina,-14.6667,-52.35,294.8,97,100,0.87,BR,1707114837
303,tual,-5.6667,132.75,302.05,76,100,6.11,ID,1707114838
304,vershino-darasunskiy,52.35,115.5167,257.94,68,48,0.47,RU,1707114838
305,la gi,10.6667,107.7833,302.84,61,100,6.01,VN,1707114838
306,puerto armuelles,8.2833,-82.8667,298.2,82,81,3.13,PA,1707114838
307,galliano,29.4422,-90.2992,287.15,87,1,6.52,US,1707114839
308,mount gambier,-37.8333,140.7667,291.36,44,0,5.06,AU,1707114839
309,gagarin,55.5529,34.9954,266.81,97,100,2.52,RU,1707114839
310,cayambe,0.05,-78.1333,284.74,94,100,0.72,EC,1707114839
311,zapala,-38.8992,-70.0544,289.62,34,0,3.2,AR,1707114839
312,strezhevoy,60.7333,77.5889,263.11,90,100,4.47,RU,1707114840
313,peace river,56.2501,-117.286,264.32,79,0,0.0,CA,1707114840
314,kharkhorin,47.1975,102.8238,263.1,76,8,1.59,MN,1707114840
315,protaras,35.0125,34.0583,287.03,80,53,1.34,CY,1707114840
316,gufeng,26.9083,118.9819,286.53,77,90,1.78,CN,1707114840
317,san agustin,20.5333,-103.4667,283.77,37,0,0.0,MX,1707114841
318,ca mau,9.1769,105.15,307.84,41,96,3.95,VN,1707114841
319,shumikha,55.2261,63.2961,273.41,98,100,8.97,RU,1707114841
320,trujillo,-8.116,-79.03,297.13,83,75,2.06,PE,1707114548
321,port hedland,-20.3167,118.5667,306.18,62,40,6.69,AU,1707114841
322,chernyshevskiy,63.0128,112.4714,255.46,94,100,1.11,RU,1707114842
323,smithers,54.7804,-127.1743,262.33,100,0,1.03,CA,1707114635
324,polyarnyy,69.1989,33.4478,257.49,93,18,3.22,RU,1707114802
325,dehdasht,30.7949,50.5646,283.27,35,0,0.68,IR,1707114842
326,kayangel,8.0823,134.7173,300.38,84,100,9.96,PW,1707114843
327,calabozo,8.9242,-67.4293,302.02,55,42,0.94,VE,1707114843
328,arica,-18.475,-70.3042,298.9,64,0,0.51,CL,1707114843
329,necochea,-38.5473,-58.7368,286.19,80,6,5.52,AR,1707114843
330,kisarazu,35.3747,139.9225,276.03,98,100,8.51,JP,1707114844
331,tarawa,1.419,172.984,303.2,79,75,2.57,KI,1707114844
332,ostersund,63.1792,14.6357,266.82,93,20,4.63,SE,1707114844
333,arno,60.1167,18.6333,272.47,75,52,5.04,SE,1707114844
334,nyrob,60.733,56.7202,256.43,84,100,2.98,RU,1707114845
335,bukama,-9.2,25.85,295.71,95,100,1.15,CD,1707114845
336,posto fiscal rolim de moura,-13.0833,-62.2667,294.94,97,4,1.03,BR,1707114845
337,isla vista,34.4133,-119.861,288.61,91,100,2.06,US,1707114845
338,cleveland,41.4995,-81.6954,274.4,93,100,3.09,US,1707114650
339,bitam,2.076,11.5007,296.27,88,100,1.43,GA,1707114846
340,kingston,17.997,-76.7936,299.68,90,40,3.6,JM,1707114687
341,nemuro,43.3236,145.575,267.01,62,93,6.28,JP,1707114846
342,thompson,55.7435,-97.8558,266.24,93,100,1.03,CA,1707114846
343,broadstairs,51.3591,1.4394,281.92,85,100,4.47,GB,1707114847
344,borogontsy,62.6683,131.1683,240.21,99,86,1.07,RU,1707114848
345,enewetak,11.3474,162.3373,299.61,75,100,8.67,MH,1707114848
346,mammoth lakes,37.6485,-118.9721,271.37,93,100,8.23,US,1707114848
347,chonchi,-42.6128,-73.8092,289.33,99,100,2.23,CL,1707114849
